ID;BONUSZ;ARBEVETEL;TJB;AKTIV_NAPOK;KAMPANY_HOSSZA;VISSZAFIZETES;PONT_NAP;PONT_HONAP;RFM_SCORE_NO;KAMPANYAFFINITAS;TELJESITES
ID115;20000;162033;80601;19;2;0,5;2;7,9183;10;0,285714286;0
ID116;10000;104358;29500;23;2;0,5;2;7,9183;10;0,166666667;0
ID117;20000;505814;270204;20;2;0,5;2;7,9183;6;1;0
ID118;2000;5000;9957;23;2;0,5;2;7,9183;7;0;0
ID119;5000;57516;23404;22;2;0,5;2;7,9183;5;0;0
ID120;5000;37114;4259;24;2;0,5;2;7,9183;6;0;0
ID121;5000;24611;16344;25;2;0,5;2;7,9183;8;1;0
ID122;20000;124064;279935;25;2;0,5;2;7,9183;9;0,4;0
ID123;20000;6415800;834879;28;2;0,5;2;7,9183;9;0,375;0
ID124;20000;2647340;358903;23;2;0,5;2;7,9183;9;0,25;0
ID125;2000;19320;12962;19;2;0,5;2;7,9183;8;0;0
ID126;20000;2697334;292302;31;2;0,5;2;7,9183;10;0,6;1
ID127;5000;199680;63544;15;2;0,5;2;7,9183;8;0,166666667;0
ID128;2000;73377;-1520;31;2;0,5;2;7,9183;7;1;0
ID129;20000;2008619;28729;26;2;0,5;2;7,9183;10;0,5;1
ID130;20000;964619;51323;29;2;0,5;2;7,9183;10;0,375;0
ID131;5000;198565;24711;22;2;0,5;2;7,9183;6;0;0
ID132;10000;49900;161112;24;2;0,5;2;7,9183;10;0,714285714;0
ID133;20000;175860;378860;15;2;0,5;2;7,9183;10;0,363636364;0
ID134;20000;113865;241365;27;2;0,5;2;7,9183;9;0,75;1
ID135;2000;21402;17260;18;2;0,5;2;7,9183;6;0;0
ID136;20000;213286;216058;24;2;0,5;2;7,9183;10;0;0
ID137;2000;16840;11419;28;2;0,5;2;7,9183;8;1;0
ID138;5000;1185902;17883;9;2;0,5;2;7,9183;6;0,2;0
ID139;20000;3144246;189517;19;2;0,5;2;7,9183;9;0,2;0
ID140;20000;1228762;292142;27;2;0,5;2;7,9183;10;0,857142857;1
ID141;20000;355196;-139024;26;2;0,5;2;7,9183;10;0,333333333;0
ID142;5000;191623;-99554;24;2;0,5;2;7,9183;9;0,857142857;1
ID143;2000;33065;17829;23;2;0,5;2;7,9183;5;0,125;1
ID144;10000;261985;54900;21;2;0,5;2;7,9183;9;0,833333333;1
ID145;5000;28720;42070;16;2;0,5;2;7,9183;10;0,888888889;0
ID146;2000;18240;1527;26;2;0,5;2;7,9183;6;0,5;1
ID147;10000;115070;70000;17;2;0,5;2;7,9183;9;0;0
ID148;20000;1714708;585237;30;2;0,5;2;7,9183;10;0,8;1
ID149;2000;97079;7835;27;2;0,5;2;7,9183;7;1;1
ID150;2000;414373;-7416;12;2;0,5;2;7,9183;5;0;1
ID151;10000;657910;207753;30;2;0,5;2;7,9183;8;0,75;1
ID152;10000;625381;-14558;20;2;0,5;2;7,9183;9;0,333333333;1
ID153;2000;37952;25357;28;2;0,5;2;7,9183;6;0,333333333;0
ID154;10000;773939;53977;18;2;0,5;2;7,9183;10;0,428571429;0
ID155;2000;102373;-5673;31;2;0,5;2;7,9183;6;0;0
ID156;20000;2689696;67401;24;2;0,5;2;7,9183;10;0,785714286;1
ID157;2000;14365;3442;30;2;0,5;2;7,9183;6;1;0
ID158;2000;39623;35750;31;2;0,5;2;7,9183;6;1;0
ID159;20000;3430534;742001;26;2;0,5;2;7,9183;10;1;0
ID160;2000;9820;27628;30;2;0,5;2;7,9183;7;0;0
ID161;20000;5910097;1781319;27;2;0,5;2;7,9183;10;1;0
ID162;10000;61364;35490;25;2;0,5;2;7,9183;10;0,166666667;0
ID163;20000;12054926;698384;18;2;0,5;2;7,9183;9;0,666666667;0
ID164;10000;339742;-1784;18;2;0,5;2;7,9183;9;0;0
ID165;5000;121101;48892;31;2;0,5;2;7,9183;8;0,6;1
ID166;20000;4214716;762019;27;2;0,5;2;7,9183;10;0,818181818;0
ID167;5000;241500;-59859;31;2;0,5;2;7,9183;9;0,4;0
ID168;20000;232830;102860;24;2;0,5;2;7,9183;10;0,25;0
ID169;2000;23425;13949;26;2;0,5;2;7,9183;7;0,333333333;0
ID170;5000;143729;64601;29;2;0,5;2;7,9183;6;0,142857143;0
ID171;2000;23466;10000;17;2;0,5;2;7,9183;5;0;0
ID172;2000;13615;11199;20;2;0,5;2;7,9183;5;0;0
ID173;5000;89394;75596;29;2;0,5;2;7,9183;8;1;1
ID174;20000;301624;-173848;22;2;0,5;2;7,9183;10;0,4;0
ID175;10000;103695;33580;19;2;0,5;2;7,9183;9;0;0
ID176;5000;122573;25031;16;2;0,5;2;7,9183;8;0;0
ID177;5000;136451;30946;24;2;0,5;2;7,9183;9;0;0
ID178;2000;30689;-23590;29;2;0,5;2;7,9183;7;0,2;0
ID179;20000;581108;187552;31;2;0,5;2;7,9183;10;0,454545455;0
ID180;2000;79243;25385;27;2;0,5;2;7,9183;7;1;0
ID181;10000;287592;40410;23;2;0,5;2;7,9183;10;0,285714286;0
ID182;20000;2914142;452935;16;2;0,5;2;7,9183;10;0,5;1
ID183;5000;42544;37422;29;2;0,5;2;7,9183;9;0,166666667;0
ID184;2000;9988;5959;24;2;0,5;2;7,9183;6;0;1
ID185;20000;311115;130291;31;2;0,5;2;7,9183;10;1;1
ID186;20000;286019;102493;15;2;0,5;2;7,9183;10;0,142857143;0
ID187;20000;426461;217237;8;2;0,5;2;7,9183;9;0;0
